category,product_id,product_title,product_url,seller_name,price_value,price_currency,price_raw,source
Motherboards,11235628,ASRock N100M,https://www.prisjakt.nu/produkt.php?p=11235628,Buyn,1413.0,SEK,1 413 kr,html
Motherboards,11235628,ASRock N100M,https://www.prisjakt.nu/produkt.php?p=11235628,Proshop,1446.0,SEK,1 446 kr,html
Motherboards,11235628,ASRock N100M,https://www.prisjakt.nu/produkt.php?p=11235628,ComputerSalg,1455.0,SEK,1 455 kr,html
Motherboards,11235628,ASRock N100M,https://www.prisjakt.nu/produkt.php?p=11235628,CDON,1455.0,SEK,1 455 kr,html
Graphics Cards,14646704,PNY GeForce RTX 5060 Ti NVIDIA Reference HDMI 3xDP 16GB,https://www.prisjakt.nu/produkt.php?p=14646704,Amazon.se,6023.0,SEK,6 023 kr,html
Graphics Cards,14646704,PNY GeForce RTX 5060 Ti NVIDIA Reference HDMI 3xDP 16GB,https://www.prisjakt.nu/produkt.php?p=14646704,Proshop,6023.0,SEK,6 023 kr,html
Graphics Cards,14646704,PNY GeForce RTX 5060 Ti NVIDIA Reference HDMI 3xDP 16GB,https://www.prisjakt.nu/produkt.php?p=14646704,ComputerSalg,6043.0,SEK,6 043 kr,html
Graphics Cards,14646704,PNY GeForce RTX 5060 Ti NVIDIA Reference HDMI 3xDP 16GB,https://www.prisjakt.nu/produkt.php?p=14646704,Fcomputer,8215.0,SEK,8 215 kr,html
Graphics Cards,7123195,Palit GeForce RTX 4090 GameRock OC HDMI 3xDP 24GB,https://www.prisjakt.nu/produkt.php?p=7123195,Amazon.se,32764.0,SEK,32 764 kr,html
Graphics Cards,5164912,AMD Radeon Pro WX 3200 3xDP 4GB,https://www.prisjakt.nu/produkt.php?p=5164912,Amazon.se,1432.0,SEK,1 432 kr,html
Graphics Cards,5164912,AMD Radeon Pro WX 3200 3xDP 4GB,https://www.prisjakt.nu/produkt.php?p=5164912,Buyn,1450.0,SEK,1 450 kr,html
Graphics Cards,5164912,AMD Radeon Pro WX 3200 3xDP 4GB,https://www.prisjakt.nu/produkt.php?p=5164912,ComputerSalg,1536.0,SEK,1 536 kr,html
Graphics Cards,5164912,AMD Radeon Pro WX 3200 3xDP 4GB,https://www.prisjakt.nu/produkt.php?p=5164912,CDON,1536.0,SEK,1 536 kr,html
Motherboards,13861150,Gigabyte Z890 AORUS MASTER,https://www.prisjakt.nu/produkt.php?p=13861150,CDON,5573.0,SEK,5 573 kr,html
Motherboards,13861150,Gigabyte Z890 AORUS MASTER,https://www.prisjakt.nu/produkt.php?p=13861150,ComputerSalg,6626.0,SEK,6 626 kr,html
Motherboards,13861150,Gigabyte Z890 AORUS MASTER,https://www.prisjakt.nu/produkt.php?p=13861150,Proshop,6666.0,SEK,6 666 kr,html
